t= 7.958249E-15	r= 1.389863E-07	r'= 2.454912E+07	r''= -1.261072E+22	th= 3.025590E+00	th'= 5.991741E+13
t= 7.964999E-15	r= 1.393166E-07	r'= 2.437927E+07	r''= -1.255218E+22	th= 3.026397E+00	th'= 5.963367E+13
t= 7.971749E-15	r= 1.396445E-07	r'= 2.421021E+07	r''= -1.249444E+22	th= 3.027200E+00	th'= 5.935388E+13
t= 7.978499E-15	r= 1.399702E-07	r'= 2.404192E+07	r''= -1.243750E+22	th= 3.028000E+00	th'= 5.907797E+13
t= 7.985249E-15	r= 1.402937E-07	r'= 2.387439E+07	r''= -1.238134E+22	th= 3.028796E+00	th'= 5.880589E+13
t= 7.991999E-15	r= 1.406149E-07	r'= 2.370762E+07	r''= -1.232595E+22	th= 3.029588E+00	th'= 5.853756E+13
t= 7.998749E-15	r= 1.409338E-07	r'= 2.354158E+07	r''= -1.227131E+22	th= 3.030376E+00	th'= 5.827292E+13
t= 8.005499E-15	r= 1.412505E-07	r'= 2.337629E+07	r''= -1.221741E+22	th= 3.031161E+00	th'= 5.801191E+13
t= 8.012249E-15	r= 1.415649E-07	r'= 2.321171E+07	r''= -1.216425E+22	th= 3.031942E+00	th'= 5.775446E+13
t= 8.018999E-15	r= 1.418772E-07	r'= 2.304785E+07	r''= -1.211180E+22	th= 3.032720E+00	th'= 5.750052E+13
t= 8.025749E-15	r= 1.421872E-07	r'= 2.288469E+07	r''= -1.206005E+22	th= 3.033495E+00	th'= 5.725003E+13
t= 8.032499E-15	r= 1.424951E-07	r'= 2.272222E+07	r''= -1.200900E+22	th= 3.034266E+00	th'= 5.700293E+13
t= 8.039249E-15	r= 1.428007E-07	r'= 2.256044E+07	r''= -1.195863E+22	th= 3.035034E+00	th'= 5.675917E+13
t= 8.045999E-15	r= 1.431042E-07	r'= 2.239934E+07	r''= -1.190894E+22	th= 3.035799E+00	th'= 5.651869E+13
t= 8.052749E-15	r= 1.434055E-07	r'= 2.223890E+07	r''= -1.185990E+22	th= 3.036560E+00	th'= 5.628144E+13
t= 8.059499E-15	r= 1.437047E-07	r'= 2.207912E+07	r''= -1.181152E+22	th= 3.037318E+00	th'= 5.604736E+13
t= 8.066249E-15	r= 1.440017E-07	r'= 2.191999E+07	r''= -1.176378E+22	th= 3.038073E+00	th'= 5.581641E+13
t= 8.072999E-15	r= 1.442965E-07	r'= 2.176149E+07	r''= -1.171666E+22	th= 3.038825E+00	th'= 5.558854E+13
t= 8.079749E-15	r= 1.445892E-07	r'= 2.160363E+07	r''= -1.167017E+22	th= 3.039574E+00	th'= 5.536370E+13
t= 8.086499E-15	r= 1.448798E-07	r'= 2.144640E+07	r''= -1.162429E+22	th= 3.040320E+00	th'= 5.514183E+13
t= 8.093249E-15	r= 1.451683E-07	r'= 2.128977E+07	r''= -1.157901E+22	th= 3.041063E+00	th'= 5.492290E+13
t= 8.099999E-15	r= 1.454546E-07	r'= 2.113376E+07	r''= -1.153432E+22	th= 3.041803E+00	th'= 5.470686E+13
t= 8.106749E-15	r= 1.457389E-07	r'= 2.097834E+07	r''= -1.149022E+22	th= 3.042540E+00	th'= 5.449366E+13
t= 8.113499E-15	r= 1.460211E-07	r'= 2.082352E+07	r''= -1.144669E+22	th= 3.043274E+00	th'= 5.428327E+13
